music_alias,music_name,music_rating,music_singer,music_tags,music_time,music_url,music_votes
《琉璃》电视剧插曲,千年之恋,8.2,双笙,琉璃|仙侠|OST|双笙|影视原声|古装|2020|大陆,2020-08-11,https://music.douban.com/subject/35179473/,285
,Brahms: Works for Solo Piano,9.1,Julius Katchen|Jean-Pierre Marty,Brahms|Katchen|piano|Classical|钢琴|CLASSICAL|古典|浪漫主义,1997-09-01,https://music.douban.com/subject/1440478/,222
蕭邦：夜曲輯 (皮耶絲),Maria João Pires - Chopin · The Nocturnes,8.9,玛利亚·胡奥·皮尔斯  Maria João Pires,Chopin|classical|piano|pires|Classical|古典|肖邦|Pires,1996,https://music.douban.com/subject/1415125/,566
,I Want to Hold Your Hand,9.3,The Beatles,TheBeatles|英国|Rock|beatles|Beatles|1960s|欧美|Single,1963,https://music.douban.com/subject/1873595/,287
,When You Believe,9.6,Whitney Houston|Mariah Carey,WhitneyHouston|MariahCarey|OST|欧美|电影原声|美国|Pop|流行,1999-01-05,https://music.douban.com/subject/1441836/,1843
,Head Above Water,7.7,艾薇儿·拉维尼 Avril Lavigne,avrillavigne|欧美|2018|！值得循环！|pop|流行|加拿大|单曲,2018-09-19,https://music.douban.com/subject/30322723/,3469
,Wiseman,9.1,James Blunt,James.Blunt|jamesBlunt|英伦|pop|英国|英伦摇滚|JamesBlunt|欧美,2005-07-12,https://music.douban.com/subject/1465656/,1572
Live @ London 1970.9.16,Pink is the Pig,8.4,Pink Floyd,PinkFloyd|英国|Psychedelic|Live|Rock|摇滚|迷幻|1990,1990,https://music.douban.com/subject/4729127/,431
,La Biographie De Luka Philipsen,8.7,Keren Ann,KerenAnn|法国|Folk|民谣|Indie|folk|Keren|2000,2000-10-24,https://music.douban.com/subject/7046847/,76
"“Local Anaesthetic"" from Nirvana (UK band)",Local Anaesthetic,7.7,Nirvana,Psychedelic|迷幻|Nirvana|1971|xjc_jovi|Repertoire|Nirvana(UK)|N,1971,https://music.douban.com/subject/1476578/,13
,"Cannonball, Pt. 1",9.2,Damien Rice,DamienRice|Folk|爱尔兰|indie|民谣|Damien_Rice|欧美|Damien,2004-07-12,https://music.douban.com/subject/1462233/,1732
,Lose Yourself,9.6,Eminem,Eminem|rap|eminem|美国|欧美|Hip-hop|Hip-Hop|Pop,2002-12-02,https://music.douban.com/subject/5917167/,415
,Time Flies... 1994-2009,9.4,Oasis,Oasis|Britpop|英伦|英国|Rock|brit-pop|2010|精选,2010-06-14,https://music.douban.com/subject/4744690/,5982
,適婚的年齡,9.8,MLA,香港|mylittleairport|粤语|2014|MyLittleAirport|2010s|小飞机场|mla,2014-10-04,https://music.douban.com/subject/35221493/,149
,Meteora,9.4,Linkin Park,LinkinPark|摇滚|林肯公园|2003|金属|Meteora|Rock|欧美歌手,2003-03-25,https://music.douban.com/subject/20275201/,157
美式小笨瓜,青葱岁月greenday:美式笨瓜(格莱美最佳摇滚专辑),9.4,青葱岁月 (Green Day),GreenDay|punk|摇滚|绿日|朋克|欧美|有灵魂的歌。|Rock,,https://music.douban.com/subject/6543975/,656
,桜の木になろう(初回限定盤Type-B)(DVD付),8.4,AKB48,AKB48|日本|J-Pop|桜の木になろう|JPOP|2011|日语|日本音乐,2011-02-16,https://music.douban.com/subject/5402211/,909
,爱殇,9.2,小时,古风|东宫|爱殇|虐|小时|影视原声|华语|OST,2017-02-14,https://music.douban.com/subject/33410516/,2049
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
The Best of the Pink Floyd,Masters of Rock,8.8,Pink Floyd,PinkFloyd|Psychedelic|摇滚|英国|UK|rock|ArtRock|合辑,1970,https://music.douban.com/subject/4229058/,92
,101,8.1,KEREN ANN,KerenAnn|Folk|法国|民谣|Indie|欧美|女声|2011,2011-03-07,https://music.douban.com/subject/6021690/,257
,Invitation,7.5,Milt Jackson Sextet,Jazz|OJC|爵士|ojc|Vibraphone/MarimbaJazz|MiltJackson|OriginalJazzClassics|Milt,1991-07-01,https://music.douban.com/subject/3167399/,17
,,,,,,,
,,,,,,,
,,,,,,,
G Spot,网络安全隐患,8.4,莎妮妮 Serrini,香港|Serrini|粤语|2020|单曲|Indie|single|Folk,2020-06-05,https://music.douban.com/subject/35089474/,92
